id,category_id,category,breakthrough_type,idea,why_it_is_breakthrough,implementation_gate,acceptance_test,status
B014,C02,Visual hierarchy / Design system,adaptive_home,"Домашний экран перестраивается под время суток, но не меняет информационную архитектуру применительно к «Visual hierarchy / Design system / states and badges».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий states and badges -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B015,C02,Visual hierarchy / Design system,artifact_timeline,"У каждого артефакта есть мини-таймлайн превращений: source, note, task, finance, graph, control применительно к «Visual hierarchy / Design system / icons».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий icons -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B016,C02,Visual hierarchy / Design system,why_now,Каждая рекомендация отвечает на вопрос «почему сейчас» и показывает источник применительно к «Visual hierarchy / Design system / responsive layout».,"Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий responsive layout -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B017,C02,Visual hierarchy / Design system,one_click_commit,"Одна большая кнопка принимает все безопасные предложения, вторичные изменения спрятаны применительно к «Visual hierarchy / Design system / color tokens».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий color tokens -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B018,C02,Visual hierarchy / Design system,calm_mode,"Режим слабого дня: показывает один следующий шаг, деньги/сроки/здоровье без shame UI применительно к «Visual hierarchy / Design system / spacing scale».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий spacing scale -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B019,C02,Visual hierarchy / Design system,review_evening,"Вечерний разбор голосовых/скринов/заметок пакетно, не по одному мусорному pop-up применительно к «Visual hierarchy / Design system / typography».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий typography -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B020,C02,Visual hierarchy / Design system,local_ai_coach,"Локальная ИИ-панель работает как proposal coach, не как магический чат без структуры применительно к «Visual hierarchy / Design system / card hierarchy».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий card hierarchy -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B021,C02,Visual hierarchy / Design system,semantic_color,"Цветовая семантика: задача, деньги, привычка, цель, знание, медиа, контроль имеют устойчивые роли применительно к «Visual hierarchy / Design system / buttons».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий buttons -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B022,C02,Visual hierarchy / Design system,focus_routes,"Каждый workspace имеет один основной job-to-be-done, а не копирует общий cockpit применительно к «Visual hierarchy / Design system / states and badges».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий states and badges -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B023,C02,Visual hierarchy / Design system,context_graph,Правый граф всегда local graph вокруг выбранного артефакта; большой graph — отдельный режим применительно к «Visual hierarchy / Design system / icons».,"Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий icons -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B024,C02,Visual hierarchy / Design system,proof_hidden,"Proof/control доступен одним кликом, но не занимает первый экран применительно к «Visual hierarchy / Design system / responsive layout».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий responsive layout -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B025,C03,Universal capture / File input,single_path,Один главный путь вместо панели: capture -> understand -> one recommended action -> details only on demand применительно к «Universal capture / File input / text paste».,"Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий text paste -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B026,C03,Universal capture / File input,adaptive_home,"Домашний экран перестраивается под время суток, но не меняет информационную архитектуру применительно к «Universal capture / File input / drag-drop».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий drag-drop -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B027,C03,Universal capture / File input,artifact_timeline,"У каждого артефакта есть мини-таймлайн превращений: source, note, task, finance, graph, control применительно к «Universal capture / File input / file picker».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий file picker -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B028,C03,Universal capture / File input,why_now,Каждая рекомендация отвечает на вопрос «почему сейчас» и показывает источник применительно к «Universal capture / File input / screenshot receipt».,"Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий screenshot receipt -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B029,C03,Universal capture / File input,one_click_commit,"Одна большая кнопка принимает все безопасные предложения, вторичные изменения спрятаны применительно к «Universal capture / File input / audio upload».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий audio upload -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B030,C03,Universal capture / File input,calm_mode,"Режим слабого дня: показывает один следующий шаг, деньги/сроки/здоровье без shame UI применительно к «Universal capture / File input / book import».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий book import -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B031,C03,Universal capture / File input,review_evening,"Вечерний разбор голосовых/скринов/заметок пакетно, не по одному мусорному pop-up применительно к «Universal capture / File input / mail paste».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий mail paste -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B032,C03,Universal capture / File input,local_ai_coach,"Локальная ИИ-панель работает как proposal coach, не как магический чат без структуры применительно к «Universal capture / File input / mobile capture».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий mobile capture -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B033,C03,Universal capture / File input,semantic_color,"Цветовая семантика: задача, деньги, привычка, цель, знание, медиа, контроль имеют устойчивые роли применительно к «Universal capture / File input / text paste».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий text paste -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B034,C03,Universal capture / File input,focus_routes,"Каждый workspace имеет один основной job-to-be-done, а не копирует общий cockpit применительно к «Universal capture / File input / drag-drop».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий drag-drop -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B035,C03,Universal capture / File input,context_graph,Правый граф всегда local graph вокруг выбранного артефакта; большой graph — отдельный режим применительно к «Universal capture / File input / file picker».,"Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий file picker -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B036,C03,Universal capture / File input,proof_hidden,"Proof/control доступен одним кликом, но не занимает первый экран применительно к «Universal capture / File input / screenshot receipt».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий screenshot receipt -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B037,C04,Artifact kernel / Repository,single_path,Один главный путь вместо панели: capture -> understand -> one recommended action -> details only on demand применительно к «Artifact kernel / Repository / dedupe».,"Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий dedupe -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B038,C04,Artifact kernel / Repository,adaptive_home,"Домашний экран перестраивается под время суток, но не меняет информационную архитектуру применительно к «Artifact kernel / Repository / lifecycle».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий lifecycle -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B039,C04,Artifact kernel / Repository,artifact_timeline,"У каждого артефакта есть мини-таймлайн превращений: source, note, task, finance, graph, control применительно к «Artifact kernel / Repository / links».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий links -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B040,C04,Artifact kernel / Repository,why_now,Каждая рекомендация отвечает на вопрос «почему сейчас» и показывает источник применительно к «Artifact kernel / Repository / privacy scope».,"Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий privacy scope -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B041,C04,Artifact kernel / Repository,one_click_commit,"Одна большая кнопка принимает все безопасные предложения, вторичные изменения спрятаны применительно к «Artifact kernel / Repository / artifact identity».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий artifact identity -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B042,C04,Artifact kernel / Repository,calm_mode,"Режим слабого дня: показывает один следующий шаг, деньги/сроки/здоровье без shame UI применительно к «Artifact kernel / Repository / projection model».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий projection model -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B043,C04,Artifact kernel / Repository,review_evening,"Вечерний разбор голосовых/скринов/заметок пакетно, не по одному мусорному pop-up применительно к «Artifact kernel / Repository / schema version».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий schema version -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B044,C04,Artifact kernel / Repository,local_ai_coach,"Локальная ИИ-панель работает как proposal coach, не как магический чат без структуры применительно к «Artifact kernel / Repository / migration».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий migration -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B045,C04,Artifact kernel / Repository,semantic_color,"Цветовая семантика: задача, деньги, привычка, цель, знание, медиа, контроль имеют устойчивые роли применительно к «Artifact kernel / Repository / dedupe».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий dedupe -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B046,C04,Artifact kernel / Repository,focus_routes,"Каждый workspace имеет один основной job-to-be-done, а не копирует общий cockpit применительно к «Artifact kernel / Repository / lifecycle».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий lifecycle -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B047,C04,Artifact kernel / Repository,context_graph,Правый граф всегда local graph вокруг выбранного артефакта; большой graph — отдельный режим применительно к «Artifact kernel / Repository / links».,"Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий links -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B048,C04,Artifact kernel / Repository,proof_hidden,"Proof/control доступен одним кликом, но не занимает первый экран применительно к «Artifact kernel / Repository / privacy scope».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий privacy scope -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B049,C05,Analysis / Classification / Proposals,single_path,Один главный путь вместо панели: capture -> understand -> one recommended action -> details only on demand применительно к «Analysis / Classification / Proposals / task parser».,"Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий task parser -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B050,C05,Analysis / Classification / Proposals,adaptive_home,"Домашний экран перестраивается под время суток, но не меняет информационную архитектуру применительно к «Analysis / Classification / Proposals / finance parser».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий finance parser -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
