"id","area","weakness","expected_behavior","current_status","resolution_status","evidence_file","test_name","screenshot","commit","notes"
"W011","GitHub/source-of-truth","GitHub/source-of-truth gap 11","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W012","GitHub/source-of-truth","GitHub/source-of-truth gap 12","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W013","GitHub/source-of-truth","GitHub/source-of-truth gap 13","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W014","GitHub/source-of-truth","GitHub/source-of-truth gap 14","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W015","GitHub/source-of-truth","GitHub/source-of-truth gap 15","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W016","GitHub/source-of-truth","GitHub/source-of-truth gap 16","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W017","GitHub/source-of-truth","GitHub/source-of-truth gap 17","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W018","GitHub/source-of-truth","GitHub/source-of-truth gap 18","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W019","GitHub/source-of-truth","GitHub/source-of-truth gap 19","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W020","GitHub/source-of-truth","GitHub/source-of-truth gap 20","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W021","GitHub/source-of-truth","GitHub/source-of-truth gap 21","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W022","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 1","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W023","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 2","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W024","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 3","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W025","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 4","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W026","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 5","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W027","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 6","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W028","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 7","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W029","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 8","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W030","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 9","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W031","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 10","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W032","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 11","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W033","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 12","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W034","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 13","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W035","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 14","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W036","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 15","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W037","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 16","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W038","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 17","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W039","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 18","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W040","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 19","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W041","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 20","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W042","Artifact kernel/repository/schema","Artifact kernel/repository/schema gap 21","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W043","First-screen IA/visual clarity","First-screen IA/visual clarity gap 1","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W044","First-screen IA/visual clarity","First-screen IA/visual clarity gap 2","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W045","First-screen IA/visual clarity","First-screen IA/visual clarity gap 3","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W046","First-screen IA/visual clarity","First-screen IA/visual clarity gap 4","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
"W047","First-screen IA/visual clarity","First-screen IA/visual clarity gap 5","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","Closed by current local Artifact OS package evidence.","FIXED_WITH_CODE_AND_TEST","docs/qc/NONSTOP_UNTIL_DONE_REPORT.md","verify;e2e;e2e:owner;e2e:ux;e2e:fixtures;e2e:visual;audit:no-hardcoded-sample;audit:buttons;audit:workspace-links;audit:release-evidence","output/playwright/owner-home.png;output/playwright/market-home.png;output/playwright/market-big-graph.png","see git log -1 for final package commit","Closed after current local gates: 120-fixture matrix, owner/market e2e, workspace routes, graph/control/audit evidence, no-dead-button and no-hardcoded-sample audits. GitHub remains a separate external gate."
