id,area,weakness,fix_contract,test_contract,prompt_status,resolution_status,dedupe_status,linked_w_id,package,evidence,next_action,commit
R0001,RISK-CAT-01 Source-of-truth / Git / execution control,активная папка снова не GitHub-backed,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,gh auth status logged in as ddotdanyaa; origin configured to https://github.com/ddotdanyaa/lifeos-final33.git; Product Brain GitHub Release Map records push retry.,Owner: run gh auth login or provide a GitHub remote URL; then run npm run release:push -- <repo-url>.,ab069cc
R0002,RISK-CAT-01 Source-of-truth / Git / execution control,изменения остаются локальными без commit/push,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,BLOCKED_EXTERNAL_NETWORK_RETRY_WITH_PROOF,direct_status,,P01,"Local commits exist, auth works, origin exists; git push reached object upload but remote returned HTTP 408.",Owner: run gh auth login or provide a GitHub remote URL; then run npm run release:push -- <repo-url>.,ab069cc
R0021,RISK-CAT-01 Source-of-truth / Git / execution control,не указаны touched files в каждом пакете,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0022,RISK-CAT-01 Source-of-truth / Git / execution control,нет rollback instructions для каждого commit,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0023,RISK-CAT-01 Source-of-truth / Git / execution control,нет clean-state reproduction steps,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0024,RISK-CAT-01 Source-of-truth / Git / execution control,не различаются local demo data и owner real data,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0025,RISK-CAT-01 Source-of-truth / Git / execution control,нет audit of duplicate docs/prompts causing conflicts,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0026,RISK-CAT-01 Source-of-truth / Git / execution control,нет rule: no product code if source-of-truth unread,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0027,RISK-CAT-01 Source-of-truth / Git / execution control,план содержит пункты без implementation route,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0028,RISK-CAT-01 Source-of-truth / Git / execution control,не дедуплицированы старые W items и новые R items,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0029,RISK-CAT-01 Source-of-truth / Git / execution control,нет machine-readable ledger CSV/JSON,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0030,RISK-CAT-01 Source-of-truth / Git / execution control,нет package budget по времени/файлам/риску,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0031,RISK-CAT-01 Source-of-truth / Git / execution control,нет owner-facing changelog после пакета,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0032,RISK-CAT-01 Source-of-truth / Git / execution control,нет стабильного version/build label в UI,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0033,RISK-CAT-01 Source-of-truth / Git / execution control,не сохраняется artifact of prompt used by Codex,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0034,RISK-CAT-01 Source-of-truth / Git / execution control,нет comparison previous screenshot vs current screenshot,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0035,RISK-CAT-01 Source-of-truth / Git / execution control,не фиксируется browser storage reset/migration mode,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0036,RISK-CAT-01 Source-of-truth / Git / execution control,нет CI-like local script full-check,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0037,RISK-CAT-01 Source-of-truth / Git / execution control,нет rule to stop adding panels before IA acceptance,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0038,RISK-CAT-01 Source-of-truth / Git / execution control,нет explicit gate for deleting/quarantining old UI,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0039,RISK-CAT-01 Source-of-truth / Git / execution control,нет proof that docs and runtime agree,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0040,RISK-CAT-01 Source-of-truth / Git / execution control,нет final release checklist tied to owner scenarios,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0041,RISK-CAT-02 First screen / IA / progressive disclosure,первый экран снова превращается в cockpit,"перестроить IA через progressive disclosure: capture-first, Daily/Money/Artifact core, advanced zones hidden, Russian-first actions",Playwright owner-home fullPage screenshot + 5-second comprehension assertions,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P02,docs/qc/OWNER_UX_001_REPORT.md; output/playwright/ux-home-calm.png; output/playwright/ux-after-analysis.png; output/playwright/ux-after-quick-task.png,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0042,RISK-CAT-02 First screen / IA / progressive disclosure,слишком много равнозначных панелей,"перестроить IA через progressive disclosure: capture-first, Daily/Money/Artifact core, advanced zones hidden, Russian-first actions",Playwright owner-home fullPage screenshot + 5-second comprehension assertions,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P02,docs/qc/OWNER_UX_001_REPORT.md; output/playwright/ux-home-calm.png; output/playwright/ux-after-analysis.png; output/playwright/ux-after-quick-task.png,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0043,RISK-CAT-02 First screen / IA / progressive disclosure,универсальный ввод визуально не главный,"перестроить IA через progressive disclosure: capture-first, Daily/Money/Artifact core, advanced zones hidden, Russian-first actions",Playwright owner-home fullPage screenshot + 5-second comprehension assertions,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P02,docs/qc/OWNER_UX_001_REPORT.md; output/playwright/ux-home-calm.png; output/playwright/ux-after-analysis.png; output/playwright/ux-after-quick-task.png,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0044,RISK-CAT-02 First screen / IA / progressive disclosure,после ввода нет понятного next step,"перестроить IA через progressive disclosure: capture-first, Daily/Money/Artifact core, advanced zones hidden, Russian-first actions",Playwright owner-home fullPage screenshot + 5-second comprehension assertions,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P02,docs/qc/OWNER_UX_001_REPORT.md; output/playwright/ux-home-calm.png; output/playwright/ux-after-analysis.png; output/playwright/ux-after-quick-task.png,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0045,RISK-CAT-02 First screen / IA / progressive disclosure,"пользователь не понимает: это задача, расход или заметка","перестроить IA через progressive disclosure: capture-first, Daily/Money/Artifact core, advanced zones hidden, Russian-first actions",Playwright owner-home fullPage screenshot + 5-second comprehension assertions,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P02,docs/qc/OWNER_UX_001_REPORT.md; output/playwright/ux-home-calm.png; output/playwright/ux-after-analysis.png; output/playwright/ux-after-quick-task.png,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0046,RISK-CAT-02 First screen / IA / progressive disclosure,Graph/Control видны раньше user value,"перестроить IA через progressive disclosure: capture-first, Daily/Money/Artifact core, advanced zones hidden, Russian-first actions",Playwright owner-home fullPage screenshot + 5-second comprehension assertions,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P02,docs/qc/OWNER_UX_001_REPORT.md; output/playwright/ux-home-calm.png; output/playwright/ux-after-analysis.png; output/playwright/ux-after-quick-task.png,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0047,RISK-CAT-02 First screen / IA / progressive disclosure,английские кнопки Apply/Edit/Skip в русском UI,"перестроить IA через progressive disclosure: capture-first, Daily/Money/Artifact core, advanced zones hidden, Russian-first actions",Playwright owner-home fullPage screenshot + 5-second comprehension assertions,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P02,docs/qc/OWNER_UX_001_REPORT.md; output/playwright/ux-home-calm.png; output/playwright/ux-after-analysis.png; output/playwright/ux-after-quick-task.png,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0048,RISK-CAT-02 First screen / IA / progressive disclosure,мелкие карточки сливаются без цветовой иерархии,"перестроить IA через progressive disclosure: capture-first, Daily/Money/Artifact core, advanced zones hidden, Russian-first actions",Playwright owner-home fullPage screenshot + 5-second comprehension assertions,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P02,docs/qc/OWNER_UX_001_REPORT.md; output/playwright/ux-home-calm.png; output/playwright/ux-after-analysis.png; output/playwright/ux-after-quick-task.png,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
