id,tier,category_id,category,subdomain,risk_type,artifact_focus,market_reference,weakness,required_solution,acceptance_test,owner_visible_outcome,status
R0011,P0-critical,C01,First-screen IA / Daily command center,universal capture,missing_route,workspace,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: нет понятного перехода в рабочее пространство и обратно к активному артефакту для слоя «рабочий экран».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0012,P0-critical,C01,First-screen IA / Daily command center,universal capture,missing_route,control,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: нет понятного перехода в рабочее пространство и обратно к активному артефакту для слоя «контроль/граф/аудит».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0013,P0-critical,C01,First-screen IA / Daily command center,universal capture,weak_feedback,capture,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: после действия непонятно, что произошло, где сохранилось и что делать дальше для слоя «входной артефакт».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0014,P0-critical,C01,First-screen IA / Daily command center,universal capture,weak_feedback,projection,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: после действия непонятно, что произошло, где сохранилось и что делать дальше для слоя «проекция артефакта».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0015,P0-critical,C01,First-screen IA / Daily command center,universal capture,weak_feedback,workspace,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: после действия непонятно, что произошло, где сохранилось и что делать дальше для слоя «рабочий экран».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0016,P0-critical,C01,First-screen IA / Daily command center,universal capture,weak_feedback,control,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: после действия непонятно, что произошло, где сохранилось и что делать дальше для слоя «контроль/граф/аудит».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0017,P0-critical,C01,First-screen IA / Daily command center,universal capture,no_apply_chain,capture,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: нет цепочки proposal -> edit -> apply -> object -> graph/control для слоя «входной артефакт».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0018,P0-critical,C01,First-screen IA / Daily command center,universal capture,no_apply_chain,projection,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: нет цепочки proposal -> edit -> apply -> object -> graph/control для слоя «проекция артефакта».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0019,P0-critical,C01,First-screen IA / Daily command center,universal capture,no_apply_chain,workspace,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: нет цепочки proposal -> edit -> apply -> object -> graph/control для слоя «рабочий экран».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0020,P0-critical,C01,First-screen IA / Daily command center,universal capture,no_apply_chain,control,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: нет цепочки proposal -> edit -> apply -> object -> graph/control для слоя «контроль/граф/аудит».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0021,P0-critical,C01,First-screen IA / Daily command center,universal capture,not_local_first,capture,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: данные не сохраняются локально, не переживают reload или не входят в export для слоя «входной артефакт».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0022,P0-critical,C01,First-screen IA / Daily command center,universal capture,not_local_first,projection,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: данные не сохраняются локально, не переживают reload или не входят в export для слоя «проекция артефакта».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0023,P0-critical,C01,First-screen IA / Daily command center,universal capture,not_local_first,workspace,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: данные не сохраняются локально, не переживают reload или не входят в export для слоя «рабочий экран».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0024,P0-critical,C01,First-screen IA / Daily command center,universal capture,not_local_first,control,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: данные не сохраняются локально, не переживают reload или не входят в export для слоя «контроль/граф/аудит».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0025,P0-critical,C01,First-screen IA / Daily command center,universal capture,bad_language,capture,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: copy использует внутренний жаргон/английские слова вместо понятного русского для слоя «входной артефакт».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0026,P0-critical,C01,First-screen IA / Daily command center,universal capture,bad_language,projection,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: copy использует внутренний жаргон/английские слова вместо понятного русского для слоя «проекция артефакта».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0027,P0-critical,C01,First-screen IA / Daily command center,universal capture,bad_language,workspace,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: copy использует внутренний жаргон/английские слова вместо понятного русского для слоя «рабочий экран».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0028,P0-critical,C01,First-screen IA / Daily command center,universal capture,bad_language,control,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: copy использует внутренний жаргон/английские слова вместо понятного русского для слоя «контроль/граф/аудит».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0029,P0-critical,C01,First-screen IA / Daily command center,universal capture,no_visual_distinction,capture,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: все типы объектов выглядят одинаково: нет цвета, веса, иерархии и статусов для слоя «входной артефакт».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0030,P0-critical,C01,First-screen IA / Daily command center,universal capture,no_visual_distinction,projection,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: все типы объектов выглядят одинаково: нет цвета, веса, иерархии и статусов для слоя «проекция артефакта».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0031,P0-critical,C01,First-screen IA / Daily command center,universal capture,no_visual_distinction,workspace,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: все типы объектов выглядят одинаково: нет цвета, веса, иерархии и статусов для слоя «рабочий экран».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0032,P0-critical,C01,First-screen IA / Daily command center,universal capture,no_visual_distinction,control,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: все типы объектов выглядят одинаково: нет цвета, веса, иерархии и статусов для слоя «контроль/граф/аудит».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0033,P0-critical,C01,First-screen IA / Daily command center,universal capture,no_error_recovery,capture,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: ошибка/отмена/rollback/recover не видны или не проверены для слоя «входной артефакт».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0034,P0-critical,C01,First-screen IA / Daily command center,universal capture,no_error_recovery,projection,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: ошибка/отмена/rollback/recover не видны или не проверены для слоя «проекция артефакта».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
