id,ledger,source_status,category_id,category,subdomain,artifact_focus,status,reason,evidence,package,acceptance_test
R0011,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,workspace,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0012,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,control,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0013,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,capture,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0014,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,projection,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0015,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,workspace,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0016,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,control,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0017,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,capture,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0018,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,projection,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0019,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,workspace,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0020,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,control,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0021,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,capture,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0022,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,projection,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0023,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,workspace,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0024,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,control,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0025,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,capture,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0026,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,projection,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0027,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,workspace,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0028,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,control,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0029,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,capture,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0030,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,projection,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0031,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,workspace,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0032,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,control,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0033,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,capture,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0034,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,projection,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0035,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,workspace,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0036,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,control,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0037,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,capture,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0038,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,projection,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0039,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,workspace,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0040,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,control,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0041,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,today summary,capture,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «today summary», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0042,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,today summary,projection,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «today summary», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0043,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,today summary,workspace,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «today summary», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
