"ID","Type","Workspace","PrimaryRoute","ImplementationClass","ImplementationStatus","OwnerAction","RepositoryObjects","MutationContract","Projection","GraphBacklinkProof","ReceiptAuditProof","DataControlProof","PolicyBoundary","Tests","ManualAuditNotes","EvidencePath","LastVerifiedAt"
"C01-013","Минус","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-014","Качество","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-015","Качество","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-016","Качество","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-017","Качество","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-018","Качество","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-019","Качество","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-020","Функция","Core / invisible OS spine","/app/system","P0-kernel","planned","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C02-001","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-002","Качество","Providers","/app/providers","Guard-only","planned-guard","","ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState","","","","","","","","","",""
"C02-003","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-004","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-005","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-006","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-007","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-008","Функция","Packs","/app/packs","P3-domain","deferred-after-kernel","","PackManifest, CustomObjectType, Template, BuilderBlock, InstallImpact","","","","","","","","","",""
"C02-009","Функция","Domains","/app/domains","P3-domain","deferred-after-kernel","","HealthSignal, Routine, Relationship, HomeItem, MoneyEvent, Trip, Meal, DomainPack","","","","","","","","","",""
"C02-010","Функция","Agents","/app/agents","P2-expand","planned","","AgentManifest, ToolScope, WorkflowManifest, WorkflowRunPreview, ActionProposal","","","","","","","","","",""
"C02-011","Функция","Agents","/app/agents","P2-expand","planned","","AgentManifest, ToolScope, WorkflowManifest, WorkflowRunPreview, ActionProposal","","","","","","","","","",""
"C02-012","Функция","Packs","/app/packs","P3-domain","deferred-after-kernel","","PackManifest, CustomObjectType, Template, BuilderBlock, InstallImpact","","","","","","","","","",""
"C02-013","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-014","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-015","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-016","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-017","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-018","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-019","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-020","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-021","Функция","Domains","/app/domains","P3-domain","deferred-after-kernel","","HealthSignal, Routine, Relationship, HomeItem, MoneyEvent, Trip, Meal, DomainPack","","","","","","","","","",""
"C02-022","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-023","Функция","Graph","/app/graph","P2-expand","planned","","GraphNode, GraphEdge, Entity, EntityCandidate, RelationshipReason","","","","","","","","","",""
"C02-024","Минус","Control","/app/control","Guard-only","planned-guard","","Receipt, DataControlItem, AuditEvent, ExportJob, DeletePreview, PrivacyZone, PermissionGrant","","","","","","","","","",""
"C02-025","Минус","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-026","Минус","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-027","Минус","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-028","Минус","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-029","Функция","Providers","/app/providers","Blocked-provider","blocked-provider","","ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState","","","","","","","","","",""
"C02-030","Функция","Providers","/app/providers","Blocked-provider","blocked-provider","","ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState","","","","","","","","","",""
"C02-031","Функция","Today","/app/today","P2-expand","planned","","TodayPage, DailyReview, JournalEntry, NextAction, RecoveryPlan","","","","","","","","","",""
"C02-032","Функция","Plan","/app/plan","P2-expand","planned","","Task, Project, CalendarBlock, PlannerBlock, FocusSession, WeekPlan","","","","","","","","","",""
"C02-033","Качество","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C02-034","Функция","Agents","/app/agents","P2-expand","planned","","AgentManifest, ToolScope, WorkflowManifest, WorkflowRunPreview, ActionProposal","","","","","","","","","",""
"C02-035","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C02-036","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-001","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-002","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-003","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-004","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-005","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-006","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-007","Функция","Inbox","/app/inbox","P1-corridor","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-008","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-009","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-010","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-011","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-012","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-013","Функция","Inbox","/app/inbox","P1-corridor","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-014","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-015","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-016","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-017","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-018","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-019","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-020","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-021","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-022","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-023","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-024","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-025","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-026","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-027","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-028","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-029","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-030","Функция","Core / invisible OS spine","/app/system","P0-kernel","planned","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C03-031","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-032","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-033","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-034","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-035","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-036","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-037","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-038","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-039","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-040","Функция","Core / invisible OS spine","/app/system","P0-kernel","planned","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C03-041","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-042","Минус","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-043","Минус","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-044","Минус","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-045","Минус","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-046","Функция","Plan","/app/plan","P2-expand","planned","","Task, Project, CalendarBlock, PlannerBlock, FocusSession, WeekPlan","","","","","","","","","",""
"C03-047","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-048","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-049","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-050","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-051","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-052","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-053","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-054","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-055","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-056","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-057","Функция","Inbox","/app/inbox","P2-expand","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-058","Качество","Inbox","/app/inbox","Guard-only","planned-guard","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C03-059","Качество","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C04-001","Качество","Providers","/app/providers","Guard-only","planned-guard","","ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState","","","","","","","","","",""
"C04-002","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-003","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-004","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-005","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-006","Качество","Chat","/app/chat","Guard-only","planned-guard","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-007","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-008","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-009","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-010","Функция","Core / invisible OS spine","/app/system","P0-kernel","planned","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C04-011","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-012","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-013","Функция","Chat","/app/chat","P1-corridor","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-014","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-015","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-016","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-017","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-018","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-019","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-020","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-021","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-022","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-023","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-024","Функция","Core / invisible OS spine","/app/system","P0-kernel","planned","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C04-025","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-026","Функция","Chat","/app/chat","P1-corridor","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-027","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-028","Функция","Chat","/app/chat","P1-corridor","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-029","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-030","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-031","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-032","Функция","Providers","/app/providers","Blocked-provider","blocked-provider","","ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState","","","","","","","","","",""
"C04-033","Функция","Providers","/app/providers","Blocked-provider","blocked-provider","","ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState","","","","","","","","","",""
"C04-034","Функция","Providers","/app/providers","Blocked-provider","blocked-provider","","ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState","","","","","","","","","",""
"C04-035","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-036","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-037","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-038","Функция","Providers","/app/providers","Blocked-provider","blocked-provider","","ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState","","","","","","","","","",""
"C04-039","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-040","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-041","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-042","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-043","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-044","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-045","Функция","Domains","/app/domains","P3-domain","deferred-after-kernel","","HealthSignal, Routine, Relationship, HomeItem, MoneyEvent, Trip, Meal, DomainPack","","","","","","","","","",""
"C04-046","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-047","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-048","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-049","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-050","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-051","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-052","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-053","Минус","Chat","/app/chat","Guard-only","planned-guard","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-054","Минус","Chat","/app/chat","Guard-only","planned-guard","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-055","Минус","Chat","/app/chat","Guard-only","planned-guard","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-056","Минус","Providers","/app/providers","Guard-only","planned-guard","","ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState","","","","","","","","","",""
"C04-057","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-058","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-059","Функция","Providers","/app/providers","Blocked-provider","blocked-provider","","ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState","","","","","","","","","",""
"C04-060","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-061","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-062","Функция","Today","/app/today","P2-expand","planned","","TodayPage, DailyReview, JournalEntry, NextAction, RecoveryPlan","","","","","","","","","",""
"C04-063","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
"C04-064","Функция","Chat","/app/chat","P2-expand","planned","","ChatThread, ChatMessage, MeetingNote, Contact, ConversationContext","","","","","","","","","",""
