ID,Type,C section,Canonical section title,UX/build bucket,Workspace,Primary route,Build phase,Core objects,Implementation stance,Acceptance hint,Title,Essence excerpt,Canon line,Source path
C01-012,Минус,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",forbid / add regression guard,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,Разрыв одного смысла на параллельные миры,"если один жизненный смысл распадается на отдельные несвязанные записи, продукт теряет цельность.",4315,docs/source_of_truth/LifeOS_canon_v33.md
C01-013,Минус,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",forbid / add regression guard,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,"Подача как коуч, психолог, дневник или «волшебный чат»",такая рамка обещает не ту ценность и уводит от инженерной системы управления жизнью.,4321,docs/source_of_truth/LifeOS_canon_v33.md
C01-014,Качество,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",build as acceptance criterion,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,Фиксированные состояния ядра и расширяемые роли,"состояния артефакта должны быть общими и устойчивыми для всей системы, а роли артефакта — расширяемыми.",4327,docs/source_of_truth/LifeOS_canon_v33.md
C01-015,Качество,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",build as acceptance criterion,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,Роль и проекция не одно и то же,"роль определяет смысловую функцию артефакта, а проекция определяет способ его показа и проживания.",4333,docs/source_of_truth/LifeOS_canon_v33.md
C01-016,Качество,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",build as acceptance criterion,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,У каждого слоя есть безопасный минимальный первый ход,"любой слой продукта должен иметь короткий, понятный и безопасный первый ход, который даёт пользу без полной настройки и без знания всей системы.",4340,docs/source_of_truth/LifeOS_canon_v33.md
C01-017,Качество,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",build as acceptance criterion,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,Сильные режимы по умолчанию и короткие пресеты,"система должна сначала давать рабочие режимы по умолчанию и 2–3 сильных пресета, а не пустой конструктор.",4346,docs/source_of_truth/LifeOS_canon_v33.md
C01-018,Качество,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",build as acceptance criterion,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,Повторобезопасность и дедупликация сигналов,"один и тот же смысл, пришедший повторно, не должен плодить дубли, расходящиеся сущности и конкурирующие версии правды.",4352,docs/source_of_truth/LifeOS_canon_v33.md
C01-019,Качество,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",build as acceptance criterion,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,Сильные мутации ядра обратимы,"критичные изменения роли, памяти, доступа, связи и общего контура должны быть обратимыми или проходить через безопасное промежуточное состояние.",4358,docs/source_of_truth/LifeOS_canon_v33.md
C01-020,Функция,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",implement as product capability,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,Контур коррекций и антишума,"продукт должен системно собирать исправления, отклонения и отрицательные сигналы, чтобы со временем становиться точнее и тише.",4364,docs/source_of_truth/LifeOS_canon_v33.md
C02-001,Качество,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",build as acceptance criterion,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Низкий порог входа,"человек должен зайти без долгой настройки и без ощущения, что его заставляют собирать сложную систему с нуля.",4374,docs/source_of_truth/LifeOS_canon_v33.md
C02-002,Качество,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Providers / Local AI / Media / Screen,Providers,/app/providers,PLAN_TBD_BY_ARTIFACT_AUDIT,"ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState",build as acceptance criterion,"Никаких fake cloud/model/screen/VPN success; только readiness, preview, explicit setup/approval.",Знакомый старт без тяжёлой машины,первые экраны должны ощущаться понятными и привычными.,4380,docs/source_of_truth/LifeOS_canon_v33.md
C02-003,Качество,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",build as acceptance criterion,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Первая польза за минуты,"продукт обязан быстро дать личную ценность, а не только обещание будущей пользы.",4386,docs/source_of_truth/LifeOS_canon_v33.md
C02-004,Качество,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",build as acceptance criterion,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Надёжный вход по умолчанию,"старт должен ощущаться предсказуемым, спокойным и не магическим.",4392,docs/source_of_truth/LifeOS_canon_v33.md
C02-005,Качество,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",build as acceptance criterion,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Входной и коммерческий слой — часть физики продукта,"способ входа, оплаты и первого контакта не является внешней обвязкой, а влияет на саму работоспособность LifeOS.",4398,docs/source_of_truth/LifeOS_canon_v33.md
C02-006,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",implement as product capability,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Вход через конкретную боль,"продукт должен заходить не через абстрактное «для всех», а через живую проблему человека.",4404,docs/source_of_truth/LifeOS_canon_v33.md
C02-007,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",implement as product capability,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Отдельные сценарии входа под разные боли,разные типы проблемы требуют разных начальных сценариев.,4410,docs/source_of_truth/LifeOS_canon_v33.md
C02-008,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Packs / Builder / Marketplace,Packs,/app/packs,PLAN_TBD_BY_ARTIFACT_AUDIT,"PackManifest, CustomObjectType, Template, BuilderBlock, InstallImpact",implement as product capability,"Install/uninstall только local-first с impact screen, permission list, rollback receipt; payments/publish gated.",Первый сильный эффект,"ранний эффект должен быть обязательной частью продукта, а не красивой витриной.",4416,docs/source_of_truth/LifeOS_canon_v33.md
C02-009,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Life Domains / Wellbeing / Money / Family,Domains,/app/domains,PLAN_TBD_BY_ARTIFACT_AUDIT,"HealthSignal, Routine, Relationship, HomeItem, MoneyEvent, Trip, Meal, DomainPack",implement as product capability,Домены не ломают ядро; каждый доменный объект — LifeObject с source/receipt/control/graph.,Карточка первого личного результата,первый сильный эффект должен быть видимым как отдельный короткий продуктовый результат.,4423,docs/source_of_truth/LifeOS_canon_v33.md
C02-010,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Agents / Workflows,Agents,/app/agents,PLAN_TBD_BY_ARTIFACT_AUDIT,"AgentManifest, ToolScope, WorkflowManifest, WorkflowRunPreview, ActionProposal",implement as product capability,Агент ничего не отправляет/не удаляет/не публикует без явного approval; dry-run даёт receipt и proposal.,Сценарные маршруты,"продукт должен вести человека по коротким осмысленным маршрутам, а не бросать в пустую систему.",4429,docs/source_of_truth/LifeOS_canon_v33.md
C02-011,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Agents / Workflows,Agents,/app/agents,PLAN_TBD_BY_ARTIFACT_AUDIT,"AgentManifest, ToolScope, WorkflowManifest, WorkflowRunPreview, ActionProposal",implement as product capability,Агент ничего не отправляет/не удаляет/не публикует без явного approval; dry-run даёт receipt и proposal.,Поддерживающие сценарные маршруты,"сценарные маршруты нужны не только на старте, но и как способ мягко вести человека дальше.",4435,docs/source_of_truth/LifeOS_canon_v33.md
C02-012,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Packs / Builder / Marketplace,Packs,/app/packs,PLAN_TBD_BY_ARTIFACT_AUDIT,"PackManifest, CustomObjectType, Template, BuilderBlock, InstallImpact",implement as product capability,"Install/uninstall только local-first с impact screen, permission list, rollback receipt; payments/publish gated.",Ролевые оболочки,"человеку нужен готовый режим старта и пользования, а не пустой конструктор.",4441,docs/source_of_truth/LifeOS_canon_v33.md
C02-013,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",implement as product capability,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Старт через импорт текущего хаоса,"система должна начинаться не с пустоты, а с того материала, который уже живёт у человека.",4447,docs/source_of_truth/LifeOS_canon_v33.md
C02-014,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",implement as product capability,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Миграция из прошлых систем как отдельный входной маршрут,"переход из старых заметок, файлов, почты и других хранилищ должен быть специальным сценарием, а не ручной болью.",4454,docs/source_of_truth/LifeOS_canon_v33.md
C02-015,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",implement as product capability,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Сопровождаемая миграция,импорт и хороший переезд — не одно и то же; переход из прошлой системы должен идти пошагово и с ручной коррекцией.,4460,docs/source_of_truth/LifeOS_canon_v33.md
C02-016,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",implement as product capability,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Аудит хаоса после импорта,"после загрузки материала система должна показать, что именно в нём требует внимания.",4466,docs/source_of_truth/LifeOS_canon_v33.md
C02-017,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",implement as product capability,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.","Решение, что активировать после импорта",не всё из прошлой жизни должно автоматически становиться активным.,4472,docs/source_of_truth/LifeOS_canon_v33.md
C02-018,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",implement as product capability,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Импорт и миграция как продающий сценарий,ценность должна продаваться через спасение уже существующего хаоса.,4478,docs/source_of_truth/LifeOS_canon_v33.md
C02-019,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",implement as product capability,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Стартовый 72-часовой пакет,быстрый вход может быть упакован в короткий измеримый цикл.,4484,docs/source_of_truth/LifeOS_canon_v33.md
C02-020,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",implement as product capability,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Локализованная цена,стоимость должна соответствовать реальному барьеру входа на конкретном рынке.,4490,docs/source_of_truth/LifeOS_canon_v33.md
C02-021,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Life Domains / Wellbeing / Money / Family,Domains,/app/domains,PLAN_TBD_BY_ARTIFACT_AUDIT,"HealthSignal, Routine, Relationship, HomeItem, MoneyEvent, Trip, Meal, DomainPack",implement as product capability,Домены не ломают ядро; каждый доменный объект — LifeObject с source/receipt/control/graph.,Региональная упаковка,"подача ценности должна отличаться по рынкам, а не быть одной для всех.",4496,docs/source_of_truth/LifeOS_canon_v33.md
C02-022,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",implement as product capability,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Локализация оплаты,привычный способ оплаты — часть входной физики продукта.,4502,docs/source_of_truth/LifeOS_canon_v33.md
C02-023,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",LifeGraph / Entities,Graph,/app/graph,"PLAN_TBD_BY_ARTIFACT_AUDIT, PLAN_TBD_BY_ARTIFACT_AUDIT","GraphNode, GraphEdge, Entity, EntityCandidate, RelationshipReason",implement as product capability,Graph edge имеет source/provenance/confidence; можно скрыть/исправить связь через безопасный preview.,Частичный возврат с обязательной обратной связью,"возврат должен быть ограниченно обратимым и при этом собирать реальный сигнал о том, что не сработало.",4508,docs/source_of_truth/LifeOS_canon_v33.md
C02-024,Минус,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Data Control / Trust / Privacy,Control,/app/control,"PLAN_TBD_BY_ARTIFACT_AUDIT, PLAN_TBD_BY_ARTIFACT_AUDIT","Receipt, DataControlItem, AuditEvent, ExportJob, DeletePreview, PrivacyZone, PermissionGrant",forbid / add regression guard,Любое изменение имеет receipt; destructive действия только preview + confirmation boundary.,Сложная первичная настройка,длинная настройка ломает доверие ещё до первой пользы.,4514,docs/source_of_truth/LifeOS_canon_v33.md
C02-025,Минус,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",forbid / add regression guard,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Пустой старт при уже существующем хаосе,"начинать «с нуля» там, где у человека уже есть живой материал, — продуктовая ошибка.",4520,docs/source_of_truth/LifeOS_canon_v33.md
C02-026,Минус,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",forbid / add regression guard,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Декоративный первый эффект,красивое впечатление без личного материала не считается настоящим результатом.,4526,docs/source_of_truth/LifeOS_canon_v33.md
C02-027,Минус,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",forbid / add regression guard,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.","Коммерческий вход, который противоречит физике продукта","если способ входа ломает доверие, понятность и первый результат, он разрушает сам продукт.",4532,docs/source_of_truth/LifeOS_canon_v33.md
C02-028,Минус,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",forbid / add regression guard,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Молчаливое принятие импортированного материала как готовой правды,"загруженный прошлый материал нельзя автоматически считать верным, активным и готовым к действию.",4538,docs/source_of_truth/LifeOS_canon_v33.md
C02-029,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Providers / Local AI / Media / Screen,Providers,/app/providers,PLAN_TBD_BY_ARTIFACT_AUDIT,"ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState",implement as product capability,"Никаких fake cloud/model/screen/VPN success; только readiness, preview, explicit setup/approval.",Месячный пробный доступ на пользовательском вычислительном контуре,"месячный пробный доступ возможен, если дорогая интеллектуальная обработка идёт не за счёт LifeOS, а через выбранный пользователем контур — локальную модель, личный внешний ИИ или иной явно подключённый им маршрут.",4546,docs/source_of_truth/LifeOS_canon_v33.md
C02-030,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Providers / Local AI / Media / Screen,Providers,/app/providers,PLAN_TBD_BY_ARTIFACT_AUDIT,"ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState",implement as product capability,"Никаких fake cloud/model/screen/VPN success; только readiness, preview, explicit setup/approval.",Мастер настройки пробного режима,"пробный доступ должен запускаться не как хаос с костылями, а как короткий мастер выбора устройства, способа диктовки, внешнего ИИ, локальной модели и уровня приватности.",4552,docs/source_of_truth/LifeOS_canon_v33.md
C02-031,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Today / Journal,Today,/app/today,"PLAN_TBD_BY_ARTIFACT_AUDIT, PLAN_TBD_BY_ARTIFACT_AUDIT","TodayPage, DailyReview, JournalEntry, NextAction, RecoveryPlan",implement as product capability,Today читает реальные notes/tasks/calendar/source links и не генерирует отдельную несвязанную реальность.,Ежедневный отчёт пробного месяца,"месячный пробный доступ должен оплачиваться не деньгами, а регулярной продуктовой обратной связью достаточной глубины.",4558,docs/source_of_truth/LifeOS_canon_v33.md
C02-032,Функция,C02,"СТАРТ, ВХОД И МИГРАЦИЯ",Planner / Tasks / Calendar / Focus,Plan,/app/plan,PLAN_TBD_BY_ARTIFACT_AUDIT,"Task, Project, CalendarBlock, PlannerBlock, FocusSession, WeekPlan",implement as product capability,"Task можно создать из source/note/chat, поставить в календарный блок, увидеть связь и receipt.",Скидка на первый платный месяц за недельные отчёты,"первый платный месяц может продаваться дешевле, если пользователь соглашается давать регулярную качественную обратную связь после реального пользования.",4564,docs/source_of_truth/LifeOS_canon_v33.md
